subject_loss,object_loss,aggregate_loss,train_MRR,val_MRR,test_MRR,Triples
3.620073795,2.444133997,6.322384834,1,0.319909016,0.312692357,500_gemma
3.631891727,2.449228764,6.313374519,1,0.321146455,0.316537063,500_gpt
3.629421949,2.440654755,6.301057339,1,0.317586144,0.313810356,1500_gemma
3.607063055,2.404268503,6.271360397,1,0.324170993,0.317473743,1500_gpt
3.562335253,2.4219594,6.228628159,1,0.304418969,0.299956364,2500_gemma
3.642178774,2.522246361,6.445261478,1,0.307573717,0.301763114,2500_gpt
3.637911081,2.477220297,6.340818882,,0.320367703,0.314568648,0_gpt
3.637911081,2.477220297,6.340818882,,0.320367703,0.314568648,0_gemma
