subject_loss,object_loss,aggregate_loss,train_MRR,val_MRR,test_MRR,Triples
2.543490409851074,2.4011781215667725,5.191387653,1,0.9657977190579307,0.964091199,10_gemma
2.545121908187866,2.3551292419433594,5.108327388763428,1,0.9617608100127949,0.9603362314846496,10_gpt
2.533942699432373,2.3442583084106445,5.200028419494629,1,0.9600941523049559,0.9615965905522854,25_gemma
2.506063461303711,2.328319787979126,5.116877555847168,1,0.9663740758555298,0.9648148369059723,25_gpt
2.234282970428467,2.0788652896881104,4.5200276374816895,1,0.9609523296918127,0.9608410144586738,50_gemma
2.2369327545166016,2.084282875061035,4.676794528961182,1,0.9605583808362884,0.9630680638367299,50_gpt
2.491663694381714,2.320354939,5.089755058288574,1,0.9665263309032477,0.9659544218167514,100_gemma
2.3857269287109375,2.2640976905822754,4.946003437042236,1,0.9548094120947741,0.9544325567166052,100_gpt
2.552187204360962,2.337527275085449,5.1820549964904785,1,0.9661341670429093,0.9658396733524373,150_gemma
2.521012306213379,2.3699309825897217,5.136623382568359,1,0.9576123343579754,0.963299959,150_gpt
2.3552942276000977,2.2164297103881836,5.048205852508545,1,0.963988517,0.9607318911775753,200_gemma
2.3879988193511963,2.1636831760406494,4.8409552574157715,1,0.9591234512601043,0.9608067767011786,200_gpt
2.577,2.368,5.234,1,0.966,0.965,0_gemma
2.577,2.368,5.234,1,0.966,0.965,0_gpt
