subject_loss,object_loss,aggregate_loss,train_MRR,val_MRR,test_MRR,Triples
3.662447214126587,0.021129215136170387,3.9853971004486084,0.9999776925354811,0.4758108406075857,0.4633044333679164,10_gemma
1.9975696802139282,0.024829902,3.5660793781280518,0.9999525174721716,0.46959373794385695,0.45832160121146215,10_gpt
4.026030540466309,1.6796554327011108,5.9859490394592285,0.9999851316591581,0.4712151228152633,0.4577591868495323,25_gemma
4.363659858703613,1.5980713367462158,6.598934650421143,1,0.4720625808802649,0.46009780178567494,25_gpt
4.499600887298584,1.8686670064926147,6.666809558868408,1,0.47470232085162395,0.4601907444021396,50_gemma
4.402429103851318,1.7862420082092285,6.570250988006592,0.9999849732984715,0.47281775965127293,0.4588981626802368,50_gpt
4.574293613433838,1.8804453611373901,6.707900047302246,0.9999535573153251,0.4744426255722403,0.46184925618748285,100_gemma
4.354809284210205,1.950166106,6.483822822570801,1,0.4719801933427666,0.4624354337555128,100_gpt
4.043906211853027,1.3596773147583008,5.587663650512695,0.9999861270859819,0.46852919047404273,0.45291626073983166,150_gemma
3.9215991497039795,1.102064609527588,6.149428367614746,0.9999779042314911,0.47382175057501325,0.4605141282998871,150_gpt
4.567343711853027,1.7209339141845703,6.5714826583862305,0.9999444916687663,0.474407407,0.4585103033924499,200_gemma
4.321133136749268,1.745971441268921,6.306543827056885,1,0.4775326902931639,0.460578598,200_gpt
4.701161861,2.126732588,7.010807037353516,1,0.465819876,0.451582237,0_gpt
4.701161861,2.126732588,7.010807037353516,1,0.465819876,0.451582237,0_gemma
